nncp compress: input bytes=51797434 model dim=256 depth=4 heads=8
num_params_M: 3.483136
nncp compress: bytes=51797434 ctx=1024 slide=768 train_every=256 train_batch=8 train_seq=256
/home/andrew/Developer/a-compressed-world/.venv/lib/python3.12/site-packages/torch/autograd/graph.py:869: UserWarning: Memory Efficient attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/attention_backward.cu:900.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
step 197632 bytes 197632 bits 1128040 bpb 5.7078 window_bpb 5.9932 elapsed 266.6s
step 198656 bytes 198656 bits 1134121 bpb 5.7090 window_bpb 5.9385 elapsed 268.0s
step 199680 bytes 199680 bits 1139643 bpb 5.7073 window_bpb 5.3926 elapsed 269.4s
step 200704 bytes 200704 bits 1146128 bpb 5.7105 window_bpb 6.3330 elapsed 270.7s
step 201728 bytes 201728 bits 1152234 bpb 5.7118 window_bpb 5.9629 elapsed 272.1s
step 202752 bytes 202752 bits 1158496 bpb 5.7139 window_bpb 6.1152 elapsed 273.5s
step 203776 bytes 203776 bits 1165185 bpb 5.7180 window_bpb 6.5322 elapsed 274.9s
step 204800 bytes 204800 bits 1171625 bpb 5.7208 window_bpb 6.2891 elapsed 276.2s
step 205824 bytes 205824 bits 1177707 bpb 5.7219 window_bpb 5.9395 elapsed 277.6s
step 206848 bytes 206848 bits 1183617 bpb 5.7222 window_bpb 5.7715 elapsed 279.0s
step 207872 bytes 207872 bits 1189940 bpb 5.7244 window_bpb 6.1748 elapsed 280.4s
step 208896 bytes 208896 bits 1196391 bpb 5.7272 window_bpb 6.2998 elapsed 281.7s
step 209920 bytes 209920 bits 1203048 bpb 5.7310 window_bpb 6.5010 elapsed 283.1s
step 210944 bytes 210944 bits 1209472 bpb 5.7336 window_bpb 6.2734 elapsed 284.5s
step 211968 bytes 211968 bits 1215573 bpb 5.7347 window_bpb 5.9580 elapsed 285.9s
step 212992 bytes 212992 bits 1221508 bpb 5.7350 window_bpb 5.7959 elapsed 287.2s
step 214016 bytes 214016 bits 1227704 bpb 5.7365 window_bpb 6.0508 elapsed 288.6s
step 215040 bytes 215040 bits 1233719 bpb 5.7372 window_bpb 5.8740 elapsed 290.0s
step 216064 bytes 216064 bits 1239718 bpb 5.7377 window_bpb 5.8584 elapsed 291.4s
step 217088 bytes 217088 bits 1245536 bpb 5.7375 window_bpb 5.6816 elapsed 292.7s
step 218112 bytes 218112 bits 1251278 bpb 5.7369 window_bpb 5.6074 elapsed 294.1s
step 219136 bytes 219136 bits 1257231 bpb 5.7372 window_bpb 5.8135 elapsed 295.5s
step 220160 bytes 220160 bits 1263093 bpb 5.7372 window_bpb 5.7246 elapsed 296.8s
step 221184 bytes 221184 bits 1269051 bpb 5.7375 window_bpb 5.8184 elapsed 298.2s
step 222208 bytes 222208 bits 1274936 bpb 5.7376 window_bpb 5.7471 elapsed 299.6s
step 223232 bytes 223232 bits 1280771 bpb 5.7374 window_bpb 5.6982 elapsed 301.0s
step 224256 bytes 224256 bits 1286662 bpb 5.7375 window_bpb 5.7529 elapsed 302.3s
step 225280 bytes 225280 bits 1292513 bpb 5.7374 window_bpb 5.7139 elapsed 303.7s
step 226304 bytes 226304 bits 1298266 bpb 5.7368 window_bpb 5.6182 elapsed 305.1s
step 227328 bytes 227328 bits 1304126 bpb 5.7368 window_bpb 5.7227 elapsed 306.4s
step 228352 bytes 228352 bits 1309953 bpb 5.7366 window_bpb 5.6904 elapsed 307.8s
step 229376 bytes 229376 bits 1315681 bpb 5.7359 window_bpb 5.5938 elapsed 309.2s
step 230400 bytes 230400 bits 1321505 bpb 5.7357 window_bpb 5.6875 elapsed 310.5s
step 231424 bytes 231424 bits 1327318 bpb 5.7354 window_bpb 5.6768 elapsed 311.9s
step 232448 bytes 232448 bits 1333253 bpb 5.7357 window_bpb 5.7959 elapsed 313.3s
